GA,vae-zinc-s,lstm-zinc,lstm-chembl,zinc,real,chembl,cnpd,cortellis-drugs
0.714,0.417,0.652,0.3,0.706,0.733,0.214,0.0,0.133
0.5,0.364,0.765,0.421,0.278,0.6,0.121,0.7,0.0
0.667,0.7,0.737,0.5,0.714,0.533,0.154,0.25,0.231
0.5,0.429,0.714,0.227,0.571,0.875,0.111,0.143,0.13
0.625,0.6,0.786,0.556,0.85,0.231,0.067,0.4,0.667
0.133,0.13,0.0,0.222,0.045,0.5,0.571,0.3,0.333
0.5,0.1,0.353,0.529,0.579,0.348,0.118,0.167,0.333
0.412,0.476,0.684,0.15,0.294,0.667,0.368,0.542,0.0
0.474,0.19,0.417,0.0,0.312,0.733,0.158,0.4,0.524
0.625,0.435,0.286,0.562,0.235,0.235,0.188,0.308,0.276
0.727,0.857,0.529,0.412,0.364,0.905,0.154,0.9,0.5
0.333,0.333,0.526,0.714,0.824,0.278,0.28,0.55,0.25
0.3,0.364,0.588,0.367,0.48,0.812,0.4,0.5,0.5
0.667,0.5,0.667,0.333,0.611,0.412,0.13,0.571,0.4
0.214,0.444,0.353,0.4,0.5,0.611,0.048,0.333,0.222
0.389,0.368,0.609,0.286,0.444,0.667,0.591,0.0,0.059
0.444,0.0,0.533,0.478,0.222,0.278,0.462,0.706,0.5
0.235,0.444,0.533,0.471,0.211,0.429,0.562,0.733,0.3
0.5,0.4,0.667,0.32,0.684,0.5,0.231,0.8,0.462
0.8,0.333,0.095,0.16,0.65,0.375,0.148,0.4,0.231
0.5,0.273,0.545,0.458,0.556,0.348,0.5,0.154,0.529
0.429,0.571,0.938,0.125,0.789,0.562,0.5,0.118,0.6
0.357,0.188,0.833,0.111,0.391,0.389,0.125,0.538,0.231
0.692,0.429,0.6,0.13,0.647,0.471,0.304,1.0,0.6
0.333,0.25,0.5,0.533,0.435,0.471,0.207,0.133,0.579
0.538,0.067,0.625,0.562,0.941,0.286,0.333,0.643,0.231
0.692,0.0,0.474,0.043,0.056,0.316,0.067,0.9,0.385
0.429,0.056,0.538,0.13,0.667,0.842,0.414,0.118,0.304
0.412,0.333,0.615,0.087,0.467,0.833,0.154,0.182,0.48
0.5,0.538,0.214,0.304,0.842,0.6,0.385,0.278,0.25
0.5,0.667,0.333,0.312,0.158,0.6,0.0,0.533,0.263
0.5,0.286,0.909,0.263,0.5,0.25,0.846,0.167,0.267
0.5,0.2,0.625,0.333,0.368,0.765,0.214,0.8,0.45
0.467,0.467,0.5,0.333,0.471,0.467,0.4,0.35,0.5
0.385,0.619,0.571,0.304,0.762,0.375,0.462,0.083,0.304
0.4,0.25,0.727,0.214,0.312,0.588,0.333,0.091,0.455
0.529,0.4,0.682,0.389,0.75,0.25,0.444,0.833,0.3
0.417,0.556,0.579,0.375,0.7,0.611,0.174,0.1,0.579
0.5,0.111,0.524,0.364,0.562,0.444,0.577,0.818,0.5
0.615,0.385,0.286,0.692,0.286,0.438,0.448,0.571,0.417
0.5,0.333,0.737,0.269,0.222,0.438,0.429,0.05,0.105
0.579,0.273,0.429,0.733,0.682,0.421,0.286,0.357,0.333
0.316,0.471,0.417,0.0,0.864,0.375,0.088,0.4,0.364
0.857,0.333,0.167,0.1,0.947,0.263,0.133,0.778,0.318
0.6,0.529,0.556,0.125,0.35,0.5,0.85,0.537,1.0
0.533,0.385,0.778,0.5,0.6,0.538,0.263,0.65,0.333
0.538,0.444,0.421,0.167,0.538,0.25,0.4,0.125,0.556
0.333,0.75,0.462,0.143,0.7,0.294,0.235,0.6,0.394
0.75,0.417,0.412,0.318,0.875,0.368,0.737,0.6,0.48
0.235,0.333,0.733,0.6,0.765,0.667,0.368,0.679,0.286
0.333,0.0,0.778,0.105,0.765,0.316,0.15,1.0,0.562
0.6,1.0,0.368,0.333,0.571,0.55,0.533,0.211,0.278
0.417,0.429,0.739,0.095,0.353,0.316,0.391,0.182,0.429
0.571,0.533,0.647,0.188,0.389,0.353,0.0,0.4,0.333
0.333,0.533,0.632,0.583,0.5,0.167,0.318,0.8,0.69
0.533,0.429,0.263,0.4,0.455,0.579,0.095,0.083,0.273
0.6,0.222,0.722,0.083,0.533,0.692,0.333,0.429,0.1
0.529,0.286,0.632,0.2,0.632,0.5,0.522,0.515,1.0
0.4,0.545,0.632,0.28,0.643,0.867,0.318,0.533,0.071
0.333,0.364,0.55,0.0,0.565,0.333,0.357,0.667,0.562
0.136,0.391,0.429,0.0,0.35,0.5,0.0,0.227,0.409
0.727,0.0,0.889,0.684,0.286,0.6,0.0,0.529,0.3
0.692,0.214,0.235,0.067,0.476,0.389,0.118,0.167,0.538
0.429,0.455,0.278,0.133,0.423,0.688,0.31,0.4,0.059
0.8,0.556,0.6,0.524,0.278,0.222,0.765,0.235,0.375
0.312,0.357,0.529,0.071,0.714,0.706,0.375,0.167,0.524
0.455,0.3,0.188,0.529,0.333,0.667,0.294,0.103,0.235
0.364,0.435,0.647,0.125,0.579,0.938,0.273,0.4,0.455
0.462,0.857,0.667,0.8,0.333,0.05,0.545,0.87,0.364
0.588,0.308,0.579,0.483,0.6,0.562,0.13,0.533,0.636
0.5,0.222,0.538,0.481,0.733,0.389,0.429,0.286,0.368
0.2,0.333,0.692,0.375,0.625,0.214,0.6,0.68,0.263
0.538,0.545,0.455,0.059,0.5,0.278,0.321,0.188,0.375
0.625,0.267,0.4,0.053,0.571,0.15,0.333,0.25,0.444
0.538,0.4,0.556,0.278,0.812,0.643,0.29,0.357,0.19
0.462,0.444,0.579,0.318,0.529,0.526,0.056,0.318,0.312
0.467,0.143,0.952,0.2,0.462,0.071,0.522,0.3,0.133
0.3,0.611,0.263,0.35,0.429,0.333,0.333,0.9,0.214
0.462,0.438,0.538,0.4,0.882,0.889,0.4,0.238,0.167
0.286,0.235,0.364,0.292,0.529,0.476,0.091,0.571,1.0
0.4,0.333,0.409,0.2,0.75,0.6,0.708,0.176,0.111
