GA,vae-zinc-s,lstm-zinc,lstm-chembl,zinc,real,chembl,cnpd,cortellis-drugs
25.0,12.0,65.263,58.154,68.793,25.385,100.588,11.0,24.0
53.778,5.0,58.933,36.667,65.217,52.5,81.0,3.0,10.0
52.943,25.882,64.909,80.889,27.0,46.87,23.0,6.0,29.0
44.333,4.0,28.0,54.0,50.909,35.0,34.0,12.0,26.0
34.615,2.0,20.88,34.0,32.324,10.0,19.0,11.0,46.8
12.0,15.0,22.0,25.0,71.0,24.933,101.758,23.692,24.0
64.037,6.0,71.739,40.385,11.0,41.677,13.0,17.0,0.0
53.833,51.097,55.312,52.174,57.182,46.857,13.0,145.297,12.0
40.714,17.0,70.412,8.0,49.286,35.769,17.0,140.0,101.5
40.538,28.0,64.444,51.68,50.286,19.0,12.0,9.0,59.027
26.526,19.692,56.231,48.333,57.6,29.7,55.467,60.526,71.429
6.0,14.0,62.241,40.889,52.129,37.565,64.75,86.29,40.0
42.385,37.4,52.778,66.488,101.946,35.483,44.786,2.0,59.5
21.6,12.0,110.0,47.143,56.828,80.5,23.0,20.364,85.429
27.529,7.0,70.304,22.0,56.667,8.0,16.0,5.0,23.636
73.04,24.0,78.946,48.889,46.154,42.24,94.886,16.0,15.0
43.077,7.0,37.826,71.647,20.0,13.0,13.0,39.31,99.889
67.0,14.0,53.565,54.4,77.0,15.0,52.2,67.231,23.0
53.833,17.0,54.4,75.636,78.375,37.143,13.0,51.852,37.053
24.444,8.0,18.0,22.0,46.364,18.0,70.0,14.0,24.0
43.2,7.0,105.765,50.286,46.0,52.516,60.067,15.0,29.538
12.0,42.545,42.581,37.778,62.471,12.0,33.333,38.0,0.0
37.579,12.0,29.455,7.0,56.25,36.72,43.556,13.2,17.0
25.0,0.0,85.0,24.0,60.714,15.0,54.4,4.0,3.0
54.4,26.0,36.0,63.391,42.545,30.16,31.0,20.0,56.533
50.0,15.0,40.615,42.56,32.0,11.0,63.556,77.609,16.0
24.0,11.0,62.429,25.0,18.0,48.72,16.0,57.895,94.889
43.067,16.0,46.2,21.0,52.571,44.571,98.317,19.0,96.667
42.75,12.0,66.048,22.0,69.091,30.0,12.0,17.0,65.27
26.667,30.0,51.765,20.0,39.314,42.667,37.778,18.0,42.0
37.143,93.6,32.0,84.524,12.0,67.688,19.0,43.826,18.0
45.238,22.0,69.524,21.0,76.267,15.0,32.667,50.286,46.316
53.519,24.0,70.154,35.357,30.0,29.467,5.0,0.0,14.034
33.091,56.727,22.222,12.0,14.0,41.727,30.0,56.0,50.133
33.333,18.0,30.727,65.733,88.514,41.727,24.211,54.0,90.0
46.0,11.0,67.0,18.0,17.0,20.0,16.0,46.0,69.75
52.462,14.0,74.324,48.72,59.743,51.52,44.308,0.0,18.0
29.647,39.929,63.6,50.667,21.176,52.414,57.407,14.0,44.2
21.111,10.0,28.0,10.0,47.6,36.923,155.902,12.0,60.8
35.619,16.0,20.0,77.318,37.333,28.0,155.0,154.545,21.176
53.519,32.0,38.909,20.0,42.545,30.435,33.0,83.571,42.0
39.6,8.0,46.2,41.846,57.514,41.333,97.741,14.0,47.25
55.08,18.0,62.706,14.0,79.098,55.273,32.0,28.0,50.4
27.692,52.0,9.0,14.0,45.946,42.75,15.0,26.25,44.552
47.25,14.0,46.0,20.0,59.333,9.0,63.568,172.429,0.0
43.217,36.0,55.0,69.667,58.5,9.0,36.0,80.152,5.0
46.0,42.0,55.111,22.0,44.2,38.08,55.857,6.0,53.571
76.667,3.0,44.474,29.0,54.588,43.182,14.0,0.0,109.913
21.905,34.706,50.0,20.0,94.4,39.231,69.667,16.5,40.865
49.524,38.857,40.615,63.0,56.533,59.143,40.154,104.872,35.259
32.0,14.0,58.5,17.0,40.533,44.08,75.0,33.0,32.4
42.0,17.111,26.0,49.5,50.455,30.194,30.435,13.0,46.957
32.941,12.0,87.6,17.0,16.0,44.8,96.188,10.0,14.0
11.0,42.261,51.429,93.158,81.6,50.0,23.0,0.0,65.812
51.333,18.0,65.581,8.0,30.0,13.0,56.897,45.333,105.918
38.957,20.0,30.0,66.6,66.25,43.2,19.0,64.615,21.0
38.25,14.0,62.129,21.0,59.13,40.182,48.333,58.333,15.0
59.077,22.0,62.129,28.0,37.161,42.222,14.8,98.6,26.667
36.571,7.0,36.129,21.0,27.739,79.5,71.69,44.609,12.0
40.8,5.0,66.806,17.0,62.278,11.0,53.263,16.8,22.88
41.6,12.0,11.0,18.0,34.0,12.0,24.0,67.667,94.839
35.789,12.0,85.412,35.0,11.0,40.0,24.0,104.385,77.538
42.545,10.0,35.714,16.0,117.419,43.2,16.0,25.0,20.0
27.6,25.0,38.0,33.529,97.622,19.741,22.0,28.571,19.0
15.556,8.0,64.5,56.375,72.13,14.0,70.933,20.0,22.0
55.857,7.0,77.846,11.0,57.333,48.276,64.591,26.0,22.0
50.0,50.462,32.0,52.308,45.917,65.867,19.0,95.625,24.0
40.8,52.848,37.714,35.556,68.0,23.032,32.0,18.0,74.25
34.737,5.0,73.5,50.37,29.9,18.0,60.706,65.116,47.6
43.63,11.0,69.333,87.907,73.333,63.08,21.0,63.609,58.667
31.111,7.0,37.4,52.5,44.0,40.32,82.8,0.0,50.769
58.0,62.938,27.0,61.091,18.0,15.0,101.5,121.714,21.0
40.0,14.0,16.0,16.0,11.0,16.0,50.973,19.0,28.364
42.923,11.0,72.0,21.0,16.0,16.0,60.75,33.6,62.846
29.4,24.0,24.0,49.739,43.448,38.435,97.5,41.684,16.0
36.316,16.0,49.0,49.241,62.308,78.138,16.0,68.414,65.714
45.455,9.0,85.829,14.0,43.474,10.0,73.8,7.0,22.0
63.077,40.138,14.0,35.556,29.9,70.0,43.5,18.316,19.0
48.158,9.0,40.8,21.429,75.0,28.471,74.571,72.769,19.0
22.222,16.0,74.8,65.161,54.154,16.0,11.0,131.818,21.0
77.214,12.0,74.935,35.0,50.714,62.688,75.122,42.0,19.0
39.0,42.0,51.333,9.0,81.267,59.0,18.0,95.952,90.412
38.88,28.0,42.56,49.0,65.172,15.0,0.0,8.867,73.652
29.25,19.059,21.0,99.429,119.812,48.231,26.0,15.0,51.111
14.0,0.0,70.103,49.6,84.706,49.793,53.053,20.0,40.8
46.429,48.0,38.857,59.143,77.483,51.029,77.846,67.879,17.0
69.72,16.0,29.333,40.39,34.0,13.0,47.478,85.867,14.0
39.667,26.0,51.556,20.0,43.63,49.655,87.286,24.75,45.5
25.6,48.636,50.455,11.0,44.0,46.452,75.429,42.0,20.0
20.348,70.286,49.304,22.0,40.296,17.0,38.737,0.0,39.429
53.267,56.769,43.333,38.957,55.435,31.862,37.714,6.0,8.0
21.857,11.0,39.231,38.0,62.129,18.0,17.0,7.0,65.543
31.2,3.0,14.0,14.0,75.727,45.0,29.0,44.211,34.0
57.103,12.0,35.226,43.077,20.0,27.84,17.471,38.75,29.217
33.103,16.0,57.037,51.333,20.0,38.25,58.154,7.0,10.8
34.5,11.0,46.48,40.182,59.774,23.438,22.0,5.0,45.0
40.0,14.0,52.778,17.0,73.75,18.0,60.714,54.4,57.5
55.857,11.0,0.0,13.0,43.355,78.0,41.619,45.257,13.0
74.111,16.0,78.2,14.0,58.645,21.0,23.0,48.3,34.0
43.333,11.0,39.692,37.333,39.368,77.519,70.267,9.0,16.0
22.105,1.0,55.273,9.0,59.143,37.926,32.0,44.0,42.316
51.765,6.0,56.538,53.818,46.87,46.897,42.222,118.0,25.0
28.167,6.0,105.417,62.065,62.938,14.0,14.0,17.0,12.0
56.455,55.387,48.133,38.722,20.0,34.667,76.56,13.0,56.41
48.231,9.0,16.0,19.0,66.4,30.0,16.0,73.857,22.857
